trial,seed,object_class,detected_x,detected_y,detected_z,gt_x,gt_y,gt_z,error_x,error_y,error_z,error_total
15,1015,mug,0.06218381360011362,0.08856021930374158,0.4762549263281557,0.1310307374447253,0.1465765254722649,0.45999999999999996,0.06884692384461166,0.058016306168523324,0.016254926328155728,0.09148777696632138
16,1016,washer,0.10221985049560003,0.09035826153117965,0.4192875949595518,0.1015908068922464,0.08287587952426317,0.426,0.0006290436033536406,0.007482382006916477,0.006712405040448177,0.010071649208515042
16,1016,box,nan,nan,nan,0.06022174777508335,-0.06704589327645444,0.48,nan,nan,nan,nan
16,1016,mug,nan,nan,nan,0.002661754262334624,0.09927647408203882,0.45999999999999996,nan,nan,nan,nan
17,1017,washer,-0.11934318562880782,0.18187137147060317,0.4163536626070532,-0.11623935351337705,0.16818194395299074,0.426,0.003103832115430763,0.01368942751761243,0.009646337392946791,0.017031911949611157
17,1017,box,-0.04850277228159057,0.08663559228486112,0.4713006513601583,-0.008095602867075474,0.06362283968869314,0.48,0.040407169414515096,0.023012752596167974,0.008699348639841675,0.047307555304658
17,1017,mug,-0.04850277228159057,0.08663559228486112,0.4713006513601583,0.11992532394819658,0.005048247170970799,0.45999999999999996,0.16842809622978716,0.08158734511389032,0.011300651360158342,0.18748926156846246
18,1018,washer,-0.12868615872573128,0.19347693506618707,0.4154364936808099,-0.12570975186683642,0.17796107228759284,0.426,0.002976406858894859,0.015515862778594236,0.010563506319190064,0.01900496412281304
18,1018,box,0.07749631214234275,0.010984594985512297,0.46316817542541033,0.07549889168182766,-0.008219524328454186,0.48,0.001997420460515084,0.019204119313966483,0.01683182457458965,0.02561441402083805
18,1018,mug,-0.22357371792321262,0.681249399050655,-0.0340498202436299,-0.06794062240879381,-0.0001432450808214747,0.45999999999999996,0.1556330955144188,0.6813926441314764,0.49404982024362987,0.8559222048636477
19,1019,washer,-0.0554254133950444,-0.14567491846975,0.4160347418545927,-0.052824206163538945,-0.15293100216151945,0.426,0.002601207231505455,0.007256083691769444,0.009965258145407274,0.012598547515797398
19,1019,box,-0.15949492452470743,0.18137978994600934,0.4563149501609751,-0.1482587307358029,0.14451970086528715,0.48,0.01123619378890453,0.03686008908072219,0.023685049839024863,0.04523162393478355
19,1019,mug,-0.15785992794887135,0.1826192335785657,0.455507878072842,0.12033666553099748,-0.1175922211944454,0.45999999999999996,0.2781965934798688,0.3002114547730111,0.004492121927157977,0.4093170425967376
20,1020,washer,0.07859497470518423,-0.1260362251573326,0.4159043122203096,0.07768591397891941,-0.13330747295212123,0.426,0.0009090607262648154,0.007271247794788632,0.010095687779690388,0.012474788480861929
20,1020,box,-0.15502054837353968,-0.11488239295721925,0.4474845768414955,-0.14257599885731073,-0.14122691061709572,0.48,0.012444549516228948,0.02634451765987647,0.032515423158504475,0.04365951404413506
20,1020,mug,-0.15502054837353968,-0.11488239295721925,0.4474845768414955,-0.05370034067934865,0.13224686190127083,0.45999999999999996,0.10132020769419103,0.24712925485849008,0.012515423158504457,0.2673860297602382
21,1021,washer,0.060160571431519184,0.15721904012389604,0.41971994519213707,0.060083576153192986,0.14877423597684908,0.426,7.699527832619874e-05,0.008444804147046958,0.006280054807862923,0.010524245043927296
21,1021,box,0.06913450756348995,-0.09302563166378275,0.45939028856420955,0.06557004335009614,-0.11096002781691144,0.48,0.003564464213393806,0.017934396153128696,0.020609711435790434,0.027551917827484777
21,1021,mug,0.06913450756348995,-0.09302563166378275,0.45939028856420955,-0.06691663115532444,0.0849476281897173,0.45999999999999996,0.13605113871881439,0.17797325985350004,0.0006097114357904165,0.22401956458667277
22,1022,washer,-0.1121652156182783,0.20900606430410368,0.4144177139161789,-0.10895895477193222,0.19228091151283894,0.426,0.003206260846346079,0.01672515279126474,0.011582286083821114,0.02059514980361733
22,1022,box,-0.056766476412050786,-0.10587878470494166,0.45869106982458324,-0.05289762346711065,-0.1233662982710217,0.48,0.003868852944940139,0.01748751356608004,0.02130893017541674,0.027836157404609416
22,1022,mug,-0.056766476412050786,-0.10587878470494166,0.45869106982458324,0.14468519719086476,-0.15039924417377026,0.45999999999999996,0.20145167360291555,0.0445204594688286,0.0013089301754167226,0.2063166532467395
23,1023,washer,-0.14084315048603555,0.10650443206959231,0.44791527383253105,0.12422093792503605,0.05202848599726273,0.426,0.2650640884110716,0.054475946072329584,0.021915273832531057,0.27149010827804126
23,1023,box,0.0013303774255791919,-0.1618606605482596,0.45366949815328333,0.0026799663592553258,-0.1788410821322448,0.48,0.001349588933676134,0.016980421583985217,0.026330501846716647,0.03136002925635945
23,1023,mug,0.0026591104948859973,-0.1611488725760159,0.4549044563411499,-0.1030034078479995,0.09333282353788441,0.45999999999999996,0.1056625183428855,0.2544816961139003,0.005095543658850066,0.2755929353317087
24,1024,washer,0.04676268487917977,0.20966407661411784,0.4188291016533806,0.04430736919859346,0.19876543194902924,0.426,0.002455315680586309,0.010898644665088608,0.007170898346619381,0.013275195430755284
24,1024,box,nan,nan,nan,0.005640979333043417,0.06324509257096211,0.48,nan,nan,nan,nan
24,1024,mug,nan,nan,nan,-0.07412586169041196,-0.19835315343751525,0.45999999999999996,nan,nan,nan,nan
25,1025,washer,0.03143705041378832,0.04913234805916811,0.4236746473276365,0.030674576364369488,0.04618622038763057,0.426,0.0007624740494188292,0.0029461276715375406,0.002325352672363501,0.0038299216681159983
25,1025,box,-0.07621356340729371,0.07939918629046072,0.4638320129747298,-0.07257352684294133,0.0582552750603017,0.48,0.0036400365643523835,0.021143911230159018,0.01616798702527017,0.026864821844709327
25,1025,mug,-0.07621356340729371,0.07939918629046072,0.4638320129747298,-0.08736772872285295,-0.07790041370308619,0.45999999999999996,0.011154165315559239,0.15729959999354692,0.003832012974729848,0.15774112933998916
26,1026,washer,-0.043931371080708534,0.14156368323970148,0.42178232058964915,-0.04450592029959302,0.13629325721804847,0.426,0.0005745492188844875,0.0052704260216530074,0.004217679410350839,0.006774682048859218
26,1026,box,-0.04584466893341338,0.14160900332398074,0.42174853927362244,0.136740824637178,-0.12536883427425952,0.48,0.18258549357059137,0.26697783759824023,0.058251460726377546,0.3286454942758314
26,1026,mug,0.14597285021606396,-0.09962750519313929,0.4495279915696289,0.0020425005963269306,-0.08577012846869692,0.45999999999999996,0.14393034961973702,0.013857376724442372,0.01047200843037105,0.14497460257544634
27,1027,washer,-0.11752562163047071,0.04909581194456464,0.41906811358484586,-0.11714902396876742,0.04099421182824722,0.426,0.00037659766170329567,0.008101600116317415,0.0069318864151541315,0.010669058042588069
27,1027,box,0.13921950051334753,-0.1429699365542964,0.44451524742451315,0.12898594763909568,-0.16967865740794288,0.48,0.010233552874251844,0.026708720853646478,0.03548475257548683,0.04557684762477148
27,1027,mug,0.13921950051334753,-0.1429699365542964,0.44451524742451315,0.17365861286800371,-0.00321646668377476,0.45999999999999996,0.03443911235465619,0.13975346987052165,0.015484752575486815,0.14476485195982994
28,1028,washer,0.06840456479468439,-0.1446949268479611,0.4146961916843054,0.06621660876359609,-0.1521684912652504,0.426,0.0021879560310883034,0.007473564417289302,0.011303808315694608,0.013726521741916815
28,1028,box,-0.037335975792476266,0.06062764203733856,0.4653090577739727,-0.03520310271583224,0.04174362112298874,0.48,0.002132873076644025,0.01888402091434982,0.014690942226027293,0.02402039085741833
28,1028,mug,-0.037335975792476266,0.06062764203733856,0.4653090577739727,-0.1141094115425357,-0.030172067761671556,0.45999999999999996,0.07677343575005943,0.09079970979901011,0.005309057773972725,0.11902492945135627
29,1029,washer,-0.14166261116146175,-0.026371145867406298,0.4159728727734163,-0.13768804348796146,-0.03609216798698767,0.426,0.0039745676735002955,0.009721022119581368,0.010027127226583665,0.014520287175490683
29,1029,box,0.02692899722099695,0.18870477920452644,0.46282015596169535,0.0266142466188182,0.15997331659512526,0.48,0.00031475060217875037,0.02873146260940118,0.017179844038304637,0.03347750069520515
29,1029,mug,0.02692899722099695,0.18870477920452644,0.46282015596169535,0.16705041359237088,0.038121637821123266,0.45999999999999996,0.14012141637137393,0.15058314138340317,0.002820155961695381,0.20571156281177347
30,1030,washer,-0.014276993713605635,-0.04187575071522115,0.4250166781929792,-0.013480883623101098,-0.04206106723823186,0.426,0.0007961100905045371,0.000185316523010709,0.000983321807020765,0.0012786927958139528
30,1030,box,-0.08749262377555334,0.06791120758137092,0.46182039287243515,-0.08316654061849464,0.04655924188724861,0.48,0.004326083157058694,0.021351965694122316,0.018179607127564834,0.028374628628360394
30,1030,mug,-0.08749262377555334,0.06791120758137092,0.46182039287243515,0.17248656335657708,0.10961432377716446,0.45999999999999996,0.2599791871321304,0.04170311619579353,0.0018203928724351837,0.263309022770837
31,1031,washer,-0.1556465892765494,-0.08376679426970307,0.4085578687410238,-0.14969460866997833,-0.09746855580320526,0.426,0.005951980606571067,0.013701761533502194,0.0174421312589762,0.022965023081140443
31,1031,box,-0.05642226624437209,-0.014814708120520936,0.4646385019370012,-0.05255434816523198,-0.032708094312256464,0.48,0.003867918079140109,0.017893386191735527,0.015361498062998802,0.023897901213559457
31,1031,mug,-0.05489641403119537,-0.014448238885941322,0.46430966551588343,0.11629118110552017,0.18309564848268567,0.45999999999999996,0.17118759513671555,0.197543887368627,0.004309665515883465,0.26143326755074536
32,1032,washer,-0.022082228144067736,0.02231761482903538,0.4244765184848947,-0.02181549948624334,0.02374396779674509,0.426,0.00026672865782439645,0.0014263529677097098,0.001523481515105285,0.0021039541088784695
32,1032,box,nan,nan,nan,0.03425243914099502,-0.07052289465470851,0.48,nan,nan,nan,nan
32,1032,mug,0.03894688429823705,-0.04146355452246653,0.4784934663835333,0.12441383200047182,0.02806323347827741,0.45999999999999996,0.08546694770223477,0.06952678800074394,0.01849346638353333,0.11171652383652027
33,1033,washer,-0.0017190898847504507,0.035751129232265644,0.42619047912750485,-0.003920153593020004,0.034941843700913744,0.426,0.002201063708269553,0.0008092855313518998,0.00019047912750486118,0.0023528507851395624
33,1033,box,-0.13436796770704626,-0.16499344079456335,0.44242150963162324,-0.12270055655345732,-0.19105125516599594,0.48,0.011667411153588936,0.02605781437143259,0.03757849036837674,0.04719407919653814
33,1033,mug,-0.13436796770704626,-0.16499344079456335,0.44242150963162324,-0.05878615214105951,0.18723244002270784,0.45999999999999996,0.07558181556598675,0.3522258808172712,0.01757849036837672,0.36067254578825997
34,1034,washer,0.09186951962489966,-0.013727383251094738,0.42180764770925433,0.09176387660710594,-0.018006561405953914,0.426,0.00010564301779371343,0.004279178154859176,0.00419235229074566,0.005991522666063521
34,1034,box,nan,nan,nan,-0.09319433118409164,0.14983688358529101,0.48,nan,nan,nan,nan
34,1034,mug,-0.09949511946013646,0.18110179251540082,0.4609821824073733,0.12803565416946988,-0.19940787858117415,0.45999999999999996,0.22753077362960633,0.38050967109657496,0.0009821824073733554,0.44334955444749485
